"","INSTNM","UGDS","UG","UGDS_WHITE","UGDS_BLACK","UGDS_HISP","UGDS_ASIAN","UGDS_AIAN","UGDS_NHPI","UGDS_2MOR","UGDS_NRA","UGDS_UNKN","UGDS_WHITENH","UGDS_BLACKNH","UGDS_API","UGDS_AIANOLD","UGDS_HISPOLD","UG_NRA","UG_UNKN","UG_WHITENH","UG_BLACKNH","UG_API","UG_AIANOLD","UG_HISPOLD","PPTUG_EF","PPTUG_EF2","CURROPER","NPT4_048_PUB","NPT4_3075_PUB","NPT4_75UP_PUB"
"1","Alabama A & M University","4206","NULL","0.0333","0.9353","0.0055","0.0019","0.0024","0.0019","0","0.0059","0.0138","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.0656","NULL",1,"14664","15864","18819"
"2","University of Alabama at Birmingham","11383","NULL","0.5922","0.26","0.0283","0.0518","0.0022","0.0007","0.0368","0.0179","0.01","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.2607","NULL",1,"12876","14908","17103"
"3","University of Alabama in Huntsville","5451","NULL","0.6988","0.1255","0.0382","0.0376","0.0143","0.0002","0.0172","0.0332","0.035","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.2146","NULL",1,"15800","18483","21015"
"4","Alabama State University","4811","NULL","0.0158","0.9208","0.0121","0.0019","0.001","0.0006","0.0098","0.0243","0.0137","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.0892","NULL",1,"11035","11706","9757"
"5","The University of Alabama","29851","NULL","0.7825","0.1119","0.0348","0.0106","0.0038","0.0009","0.0261","0.0268","0.0026","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.0844","NULL",1,"18294","19757","23347"
"6","Athens State University","2991","NULL","0.7823","0.12","0.0191","0.0053","0.0157","0.001","0.0174","0.0057","0.0334","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.5517","NULL",1,"NULL","NULL","NULL"
"7","Auburn University at Montgomery","4304","NULL","0.5328","0.3376","0.0074","0.0221","0.0044","0.0016","0.0297","0.0397","0.0246","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.2853","NULL",1,"12214","13574","15482"
"8","Auburn University","20514","NULL","0.8507","0.0704","0.0248","0.0227","0.0074","0","0","0.01","0.014","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.0862","NULL",1,"14689","17349","21190"
"9","Jacksonville State University","7060","NULL","0.6834","0.2382","0.0132","0.0055","0.0072","0.001","0","0.0234","0.028","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.1989","NULL",1,"16183","18652","20800"
"10","University of West Alabama","1916","NULL","0.4421","0.4055","0.0224","0.0016","0.0016","0.001","0.013","0.06","0.0527","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.1174","NULL",1,"11992","13706","15706"
"11","University of Montevallo","2644","NULL","0.7266","0.1384","0.031","0.0064","0.0061","0","0.0234","0.0136","0.0545","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.1085","NULL",1,"14651","16954","19453"
"12","University of North Alabama","5485","NULL","0.7123","0.1384","0.0272","0.0047","0.0093","0.0009","0.0235","0.0425","0.0412","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.1535","NULL",1,"9497","11172","13341"
"13","University of South Alabama","11267","NULL","0.6149","0.2374","0.0276","0.0345","0.0065","0.0013","0.0247","0.0382","0.0149","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.1942","NULL",1,"11387","14442","18436"
"14","Troy University","15025","NULL","0.5132","0.3386","0.0329","0.0078","0.0082","0.0011","0.0244","0.0282","0.0455","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.4001","NULL",1,"11859","14114","12078"
"15","University of Alaska Anchorage","12865","NULL","0.5747","0.0358","0.0761","0.0778","0.0653","0.0086","0.098","0.0181","0.0457","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.4539","NULL",1,"7034","9060","11306"
"16","University of Alaska Fairbanks","5536","NULL","0.4259","0.021","0.0522","0.0126","0.1284","0.0027","0.0401","0.011","0.306","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.3887","NULL",1,"7302","9386","12097"
"17","Arizona State University-Tempe","39316","NULL","0.5457","0.0394","0.188","0.0686","0.0133","0.0024","0.0401","0.0942","0.0083","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.0902","NULL",1,"7376","10102","14972"
"18","University of Arizona","32646","NULL","0.5323","0.0355","0.2535","0.0555","0.0115","0.0027","0.0419","0.0574","0.0096","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.1012","NULL",1,"12100","14747","20598"
"19","Northern Arizona University","23189","NULL","0.6109","0.0336","0.2034","0.0165","0.0272","0.0025","0.0517","0.0482","0.006","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.1735","NULL",1,"10897","12913","17455"
"20","University of Arkansas at Little Rock","7942","NULL","0.5297","0.2703","0.0699","0.0225","0.0034","0","0.0755","0.0283","0.0003","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.4126","NULL",1,"12672","13926","16286"
"21","University of Arkansas for Medical Sciences","711","NULL","0.737","0.1322","0.0464","0.0281","0.0042","0","0.0281","0.007","0.0169","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.2433","NULL",1,"NULL","NULL","NULL"
"22","University of Arkansas","21405","NULL","0.7798","0.05","0.0692","0.0251","0.0117","0.0009","0.0316","0.0279","0.0037","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.111","NULL",1,"11116","13451","16953"
"23","University of Arkansas at Pine Bluff","2391","NULL","0.0431","0.9281","0.0146","0.0033","0.0013","0","0.0004","0.0071","0.0021","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.0849","NULL",1,"7719","8391","12500"
"24","Arkansas State University-Main Campus","9139","NULL","0.7372","0.1448","0.0235","0.0074","0.0043","0.0013","0.0174","0.0556","0.0085","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.1901","NULL",1,"10348","11542","13691"
"25","Arkansas Tech University","8845","NULL","0.7751","0.0897","0.0531","0.0119","0.0099","0.0008","0.0242","0.0353","0","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.2071","NULL",1,"9237","10182","12860"
"26","University of Central Arkansas","9232","NULL","0.6545","0.1969","0.0434","0.0168","0.0048","0.001","0.0336","0.0379","0.0112","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.1229","NULL",1,"9772","10523","13989"
"27","Henderson State University","3226","NULL","0.6569","0.2365","0.0422","0.0071","0.0015","0","0.0453","0.0096","0.0009","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.0939","NULL",1,"9374","10532","11740"
"28","Southern Arkansas University Main Campus","2784","NULL","0.6311","0.2856","0.0248","0.0065","0.0047","0.009","0.0079","0.0298","0.0007","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.1002","NULL",1,"9401","9977","13208"
"29","University of Arkansas-Fort Smith","5990","NULL","0.7244","0.0466","0.0885","0.0456","0.028","0.0005","0.0501","0.015","0.0013","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.2067","NULL",1,"7241","7854","10227"
"30","California Polytechnic State University-San Luis Obispo","19177","NULL","0.5872","0.007","0.1516","0.1185","0.0016","0.002","0.0703","0.0148","0.047","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.0344","NULL",1,"11455","14877","22793"
"31","California State University-Bakersfield","7524","NULL","0.1835","0.0638","0.5186","0.0678","0.006","0.0007","0.028","0.0311","0.1005","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.099","NULL",1,"4373","6220","13958"
"32","California State University-Stanislaus","7844","NULL","0.2585","0.0246","0.475","0.1121","0.0043","0.0073","0.0363","0.0268","0.0551","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.1462","NULL",1,"4141","6607","14721"
"33","California State University-San Bernardino","16439","NULL","0.1588","0.0653","0.5831","0.0605","0.0016","0.0024","0.0259","0.0624","0.04","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.1065","NULL",1,"4620","7011","13917"
"34","California State Polytechnic University-Pomona","22269","NULL","0.2023","0.0329","0.3864","0.2459","0.0019","0.0024","0.0397","0.0476","0.0409","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.1161","NULL",1,"7759","10952","18092"
"35","California State University-Chico","15844","NULL","0.4917","0.0213","0.2627","0.0592","0.0057","0.0015","0.0497","0.0342","0.0738","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.0695","NULL",1,"9185","12572","20697"
"36","California State University-Dominguez Hills","12199","NULL","0.0835","0.1472","0.5732","0.0956","0.0018","0.0034","0.0274","0.0302","0.0376","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.2798","NULL",1,"841","3667","11369"
"37","California State University-Fresno","20128","NULL","0.231","0.0353","0.4541","0.1518","0.0032","0.0024","0.0303","0.0429","0.049","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.1197","NULL",1,"4206","6511","15200"
"38","California State University-Fullerton","32610","NULL","0.2397","0.0205","0.3857","0.2158","0.0018","0.0021","0.0423","0.0539","0.0382","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.1817","NULL",1,"3954","6862","14709"
"39","California State University-East Bay","12275","NULL","0.1725","0.1088","0.2831","0.2378","0.0019","0.0108","0.056","0.0588","0.0702","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.1308","NULL",1,"7415","10557","19055"
"40","California State University-Long Beach","31494","NULL","0.1998","0.038","0.3791","0.2318","0.005","0.0039","0.0458","0.0571","0.0395","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0.1397","NULL",1,"6032","8702","16598"
